model,target_layer,condition,condition_type,parent_role,parent_cosine_with_caa,best_coef,parent_best_coef_tune,coef_differs_from_parent,baseline_logit,baseline_logit_reference,best_logit,delta_logit,delta_logit_ci_lo,delta_logit_ci_hi,baseline_rate,best_rate,delta_rate_pp,delta_rate_ci_lo_pp,delta_rate_ci_hi_pp,n_seeds,wilcoxon_alternative,wilcoxon_p_raw,wilcoxon_p_holm,significant_after_holm
gemma-2-27b-it,22,skeptic_residual,residual_standalone,skeptic,0.0640062540769577,2000.0,2000.0,False,1.0038020992279053,seed_42_only,0.25614585479100543,-0.7476562444368999,-0.9512190716302886,-0.5616330099380952,0.5933333333333334,0.5,-9.333333333333334,-12.666666666666668,-6.333333333333334,1,less,5.147177075280461e-12,3.603023952696323e-11,True
gemma-2-27b-it,22,contrarian_residual,residual_standalone,contrarian,0.032646119594573975,2000.0,1000.0,True,1.0038020992279053,seed_42_only,0.6880208333333333,-0.3157812658945720,-0.5458267153667451,-0.0901437280052713,0.5933333333333334,0.5533333333333333,-4.0,-8.333333333333332,0.0,1,less,0.019918578048905185,0.07248705531003066,False
gemma-2-27b-it,22,collaborator_residual,residual_standalone,collaborator,0.16481372714042664,5000.0,500.0,True,1.0038020992279053,seed_42_only,0.0802083396911621,-0.9235937595367432,-1.1228945325613023,-0.7488542185624441,0.5933333333333334,0.51,-8.333333333333332,-11.666666666666666,-5.0,1,less,7.142077647409764e-20,7.142077647409764e-19,True
qwen3-32b,32,skeptic_residual,residual_standalone,skeptic,-0.10489188134670258,200.0,200.0,False,2.9998611095216536,cross_seed_mean_3_seeds,1.2008333448568982,-1.7990277646647554,-1.953222421316947,-1.6448330080125639,0.8400,0.6777777777777777,-16.222222222222218,-22.04567,-10.39878,3,less,2.9520544856872834e-17,2.3616435885498267e-16,True
qwen3-32b,32,contrarian_residual,residual_standalone,contrarian,-0.07048940658569336,-100.0,-100.0,False,2.9998611095216536,cross_seed_mean_3_seeds,1.353055555290646,-1.6468055542310076,-1.7811751822336,-1.5124359262284151,0.8400,0.7388888888888889,-10.111111111111114,-19.16538,-1.05684,3,less,5.0543762920325305e-20,6.57068917964229e-19,True
qwen3-32b,32,devils_advocate_residual,residual_standalone,devils_advocate,-0.10784083604812622,200.0,200.0,False,2.9998611095216536,cross_seed_mean_3_seeds,0.8070138907432556,-2.1928472187783982,-2.6432717495345355,-1.7424226880222608,0.8400,0.6844444444444444,-15.555555555555554,-20.55168,-10.55944,3,less,3.419731814579329e-19,3.419731814579329e-18,True
